displ,year,cyl,cty,hwy
1.8,1999,4,18,29
1.8,1999,4,21,29
2.0,2008,4,20,31
2.0,2008,4,21,30
2.8,1999,6,16,26
2.8,1999,6,18,26
3.1,2008,6,18,27
1.8,1999,4,18,26
1.8,1999,4,16,25
2.0,2008,4,20,28
2.0,2008,4,19,27
2.8,1999,6,15,25
2.8,1999,6,17,25
3.1,2008,6,17,25
3.1,2008,6,15,25
2.8,1999,6,15,24
3.1,2008,6,17,25
4.2,2008,8,16,23
5.3,2008,8,14,20
5.3,2008,8,11,15
5.3,2008,8,14,20
5.7,1999,8,13,17
6.0,2008,8,12,17
5.7,1999,8,16,26
5.7,1999,8,15,23
6.2,2008,8,16,26
6.2,2008,8,15,25
7.0,2008,8,15,24
5.3,2008,8,14,19
5.3,2008,8,11,14
5.7,1999,8,11,15
6.5,1999,8,14,17
2.4,1999,4,19,27
2.4,2008,4,22,30
3.1,1999,6,18,26
3.5,2008,6,18,29
3.6,2008,6,17,26
2.4,1999,4,18,24
3.0,1999,6,17,24
3.3,1999,6,16,22
3.3,1999,6,16,22
3.3,2008,6,17,24
3.3,2008,6,17,24
3.3,2008,6,11,17
3.8,1999,6,15,22
3.8,1999,6,15,21
3.8,2008,6,16,23
4.0,2008,6,16,23
3.7,2008,6,15,19
3.7,2008,6,14,18
3.9,1999,6,13,17
3.9,1999,6,14,17
4.7,2008,8,14,19
4.7,2008,8,14,19
4.7,2008,8,9,12
5.2,1999,8,11,17
5.2,1999,8,11,15
3.9,1999,6,13,17
4.7,2008,8,13,17
4.7,2008,8,9,12
4.7,2008,8,13,17
5.2,1999,8,11,16
5.7,2008,8,13,18
5.9,1999,8,11,15
4.7,2008,8,12,16
4.7,2008,8,9,12
4.7,2008,8,13,17
4.7,2008,8,13,17
4.7,2008,8,12,16
4.7,2008,8,9,12
5.2,1999,8,11,15
5.2,1999,8,11,16
5.7,2008,8,13,17
5.9,1999,8,11,15
4.6,1999,8,11,17
5.4,1999,8,11,17
5.4,2008,8,12,18
4.0,1999,6,14,17
4.0,1999,6,15,19
4.0,1999,6,14,17
4.0,2008,6,13,19
4.6,2008,8,13,19
5.0,1999,8,13,17
4.2,1999,6,14,17
4.2,1999,6,14,17
4.6,1999,8,13,16
4.6,1999,8,13,16
4.6,2008,8,13,17
5.4,1999,8,11,15
5.4,2008,8,13,17
3.8,1999,6,18,26
3.8,1999,6,18,25
4.0,2008,6,17,26
4.0,2008,6,16,24
4.6,1999,8,15,21
4.6,1999,8,15,22
4.6,2008,8,15,23
4.6,2008,8,15,22
5.4,2008,8,14,20
1.6,1999,4,28,33
1.6,1999,4,24,32
1.6,1999,4,25,32
1.6,1999,4,23,29
1.6,1999,4,24,32
1.8,2008,4,26,34
1.8,2008,4,25,36
1.8,2008,4,24,36
2.0,2008,4,21,29
2.4,1999,4,18,26
2.4,1999,4,18,27
2.4,2008,4,21,30
2.4,2008,4,21,31
2.5,1999,6,18,26
2.5,1999,6,18,26
3.3,2008,6,19,28
2.0,1999,4,19,26
2.0,1999,4,19,29
2.0,2008,4,20,28
2.0,2008,4,20,27
2.7,2008,6,17,24
2.7,2008,6,16,24
2.7,2008,6,17,24
3.0,2008,6,17,22
3.7,2008,6,15,19
4.0,1999,6,15,20
4.7,1999,8,14,17
4.7,2008,8,9,12
4.7,2008,8,14,19
5.7,2008,8,13,18
6.1,2008,8,11,14
4.0,1999,8,11,15
4.2,2008,8,12,18
4.4,2008,8,12,18
4.6,1999,8,11,15
5.4,1999,8,11,17
5.4,1999,8,11,16
5.4,2008,8,12,18
4.0,1999,6,14,17
4.0,2008,6,13,19
4.6,2008,8,13,19
5.0,1999,8,13,17
2.4,1999,4,21,29
2.4,1999,4,19,27
2.5,2008,4,23,31
2.5,2008,4,23,32
3.5,2008,6,19,27
3.5,2008,6,19,26
3.0,1999,6,18,26
3.0,1999,6,19,25
3.5,2008,6,19,25
3.3,1999,6,14,17
3.3,1999,6,15,17
4.0,2008,6,14,20
5.6,2008,8,12,18
3.1,1999,6,18,26
3.8,1999,6,16,26
3.8,1999,6,17,27
3.8,2008,6,18,28
5.3,2008,8,16,25
2.5,1999,4,18,25
2.5,1999,4,18,24
2.5,2008,4,20,27
2.5,2008,4,19,25
2.5,2008,4,20,26
2.5,2008,4,18,23
2.2,1999,4,21,26
2.2,1999,4,19,26
2.5,1999,4,19,26
2.5,1999,4,19,26
2.5,2008,4,20,25
2.5,2008,4,20,27
2.5,2008,4,19,25
2.5,2008,4,20,27
2.7,1999,4,15,20
2.7,1999,4,16,20
3.4,1999,6,15,19
3.4,1999,6,15,17
4.0,2008,6,16,20
4.7,2008,8,14,17
2.2,1999,4,21,29
2.2,1999,4,21,27
2.4,2008,4,21,31
2.4,2008,4,21,31
3.0,1999,6,18,26
3.0,1999,6,18,26
3.5,2008,6,19,28
2.2,1999,4,21,27
2.2,1999,4,21,29
2.4,2008,4,21,31
2.4,2008,4,22,31
3.0,1999,6,18,26
3.0,1999,6,18,26
3.3,2008,6,18,27
1.8,1999,4,24,30
1.8,1999,4,24,33
1.8,1999,4,26,35
1.8,2008,4,28,37
1.8,2008,4,26,35
4.7,1999,8,11,15
5.7,2008,8,13,18
2.7,1999,4,15,20
2.7,1999,4,16,20
2.7,2008,4,17,22
3.4,1999,6,15,17
3.4,1999,6,15,19
4.0,2008,6,15,18
4.0,2008,6,16,20
2.0,1999,4,21,29
2.0,1999,4,19,26
2.0,2008,4,21,29
2.0,2008,4,22,29
2.8,1999,6,17,24
1.9,1999,4,33,44
2.0,1999,4,21,29
2.0,1999,4,19,26
2.0,2008,4,22,29
2.0,2008,4,21,29
2.5,2008,5,21,29
2.5,2008,5,21,29
2.8,1999,6,16,23
2.8,1999,6,17,24
1.9,1999,4,35,44
1.9,1999,4,29,41
2.0,1999,4,21,29
2.0,1999,4,19,26
2.5,2008,5,20,28
2.5,2008,5,20,29
1.8,1999,4,21,29
1.8,1999,4,18,29
2.0,2008,4,19,28
2.0,2008,4,21,29
2.8,1999,6,16,26
2.8,1999,6,18,26
3.6,2008,6,17,26
